"Id";"Oznaczenie";"Pakiet";"Liczba";"Oznaczenie";"Dostawca i numer artykułu";
1;"R90,R73,R16,R66,R59,R50,R67,R57,R82,R74,R89,R75,R14,R91,R81,R83,R12,R65,R15,R58";"R_0805_2012Metric_Pad1.20x1.40mm_HandSolder";20;"330";;;
2;"R88,R48,R79,R77,R13,R71,R85,R69,R70,R84,R23,R56,R21,R53,R55,R52,R63,R18,R19,R68,R80,R72,R54,R9,R51,R86,R8,R62,R87,R22,R76,R78,R64,R49,R61,R60,R20,R17,R47,R41,R3,R11,R40,R4,R10";"R_0805_2012Metric_Pad1.20x1.40mm_HandSolder";45;"1k";;;
3;"D3";"D_MiniMELF";1;"1n4148";;;
4;"R28,R29";"R_0805_2012Metric_Pad1.20x1.40mm_HandSolder";2;"330k";;;
5;"Q15,Q10,Q3,Q6,Q14,Q5,Q13,Q2,Q8,Q11,Q9,Q16,Q12,Q7,Q4,Q1";"SOT-23";16;"BC847";;;
6;"J11,J7";"TerminalBlock_4Ucon_1x03_P3.50mm_Horizontal";2;"probe";;;
7;"U2";"LQFP_25ZGT6_STM";1;"STM32H725ZGT6";;;
8;"R26,R25";"R_0805_2012Metric_Pad1.20x1.40mm_HandSolder";2;"27";;;
9;"SW1";"SW_PUSH_6mm";1;"SW_Push";;;
10;"R31";"R_0805_2012Metric_Pad1.20x1.40mm_HandSolder";1;"33k";;;
11;"J2";"IDC-Header_2x05_P2.54mm_Vertical";1;"panel";;;
12;"C31";"C_1206_3216Metric_Pad1.33x1.80mm_HandSolder";1;"1uF";;;
13;"U10";"MTJ-88TX1-FSP";1;"MTJ-88TX1";;;
14;"J19,J17,J15,J21,J13";"TerminalBlock_4Ucon_1x07_P3.50mm_Horizontal";5;"axeCon";;;
15;"Y2";"Crystal_AT310_D3.0mm_L10.0mm_Vertical";1;"Crystal";;;
16;"C1";"CP_Elec_10x12.5";1;"1000uF/16V";;;
17;"J14,J20,J16,J12,J18";"PinHeader_1x06_P2.54mm_Vertical";5;"axeTest";;;
18;"J1";"IDC-Header_2x05_P2.54mm_Vertical";1;"LCD";;;
19;"J3";"TerminalBlock_Phoenix_MKDS-1,5-2_1x02_P5.00mm_Horizontal";1;"Screw_Terminal_01x02";;;
20;"J5";"PinHeader_1x02_P2.54mm_Vertical";1;"lcd_bl";;;
21;"Y1";"Crystal_SMD_HC49-SD";1;"25MHz";;;
22;"R46,R45,R44,R37,R35,R32,R34,R33";"R_0805_2012Metric_Pad1.20x1.40mm_HandSolder";8;"10k";;;
23;"R36";"R_0805_2012Metric_Pad1.20x1.40mm_HandSolder";1;"6.8k 1%";;;
24;"R27";"R_0805_2012Metric_Pad1.20x1.40mm_HandSolder";1;"1.5k";;;
25;"J6";"IDC-Header_2x05_P2.54mm_Vertical";1;"jtag";;;
26;"D2";"LED_1206_3216Metric_Pad1.42x1.75mm_HandSolder";1;"LED2";;;
27;"RV1";"Potentiometer_Piher_PT-6-V_Vertical";1;"5k";;;
28;"J10";"TerminalBlock_4Ucon_1x05_P3.50mm_Horizontal";1;"relay";;;
29;"J4";"PinHeader_1x03_P2.54mm_Vertical";1;"Conn_01x03";;;
30;"R24";"R_0805_2012Metric_Pad1.20x1.40mm_HandSolder";1;"470";;;
31;"U9";"LQFP-48_7x7mm_P0.5mm";1;"DM9161A";;;
32;"J22";"PinHeader_2x05_P2.54mm_Vertical";1;"Conn_02x05_Odd_Even";;;
33;"J8";"TerminalBlock_4Ucon_1x06_P3.50mm_Horizontal";1;"spindle";;;
34;"C40,C10,C34,C16,C20,C23,C21,C22,C36,C13,C14,C18,C8,C37,C28,C33,C7,C6,C27,C24,C32,C29,C35,C19,C39,C25,C26,C30,C17";"C_0603_1608Metric_Pad1.08x0.95mm_HandSolder";29;"100nF";;;
